member_id,first_name,last_name,grade,neighborhood,membership_status,join_date,checkout_id,book_id,checkout_date,return_date,genre,pages,publication_year,publisher,total_books_checked_out
1001,Salma,Ibrahim,8,Maadi,Active,2023-04-05,9025,525,2024-10-24,2024-11-07 00:00:00,Adventure,297,2015,Oasis Books,1
1002,Fares,Saleh,9,Maadi,Active,2025-01-22,9013,501,2024-02-16,2024-02-29 00:00:00,Adventure,128,2017,Nile Press,3
1002,Fares,Saleh,9,Maadi,Active,2025-01-22,9095,507,2024-06-25,2024-07-07 00:00:00,Science,160,2024,Nile Press,3
1002,Not Available,Not Available,9,Maadi,Active,2025-01-22,Missing,521,2025-07-08,Not Returned,Science,201,2017,Unknown,3
1003,Bassel,Hegazy,6,Maadi,Active,2025-04-23,9074,501,2024-06-19,2024-07-06 00:00:00,Adventure,128,2017,Nile Press,10
1003,Not Available,Not Available,9,Maadi,Active,2025-01-22,Missing,501,2025-07-08,Not Returned,Adventure,201,2017,Unknown,10
1003,Bassel,Hegazy,6,Maadi,Active,2025-04-23,9068,501,2025-11-14,2025-12-03 00:00:00,Adventure,128,2017,Nile Press,10
1003,Bassel,Hegazy,6,Maadi,Active,2025-04-23,9071,503,2024-03-25,2024-04-09 00:00:00,Historical,259,2017,Nile Press,10
1003,Bassel,Hegazy,6,Maadi,Active,2025-04-23,9051,513,2025-07-22,2025-08-18 00:00:00,Science,294,2021,Oasis Books,10
1003,Bassel,Hegazy,6,Maadi,Active,2025-04-23,9103,513,2025-09-04,2025-09-25 00:00:00,Science,294,2021,Oasis Books,10
1003,Bassel,Hegazy,6,Maadi,Active,2025-04-23,9048,519,2024-12-03,2025-01-01 00:00:00,Friendship,157,2014,Nile Press,10
1003,Bassel,Hegazy,6,Maadi,Active,2025-04-23,9088,519,2025-09-17,2025-10-03 00:00:00,Friendship,157,2014,Nile Press,10
1003,Bassel,Hegazy,6,Maadi,Active,2025-04-23,9050,521,2025-08-21,Not Returned,Science,211,2024,Cairo Young Readers,10
1003,Bassel,Hegazy,6,Maadi,Active,2025-04-23,9018,522,2025-06-12,2025-06-24 00:00:00,Mystery,104,2016,Cairo Young Readers,10
1004,Fares,Wahba,7,Maadi,Inactive,2024-10-09,Missing,Missing,2025-07-11,Not Returned,Adventure,201,2017,Unknown,1
1005,Youssef,Halim,9,Maadi,Active,2024-05-05,9043,505,2024-01-26,2024-02-04 00:00:00,Historical,216,2024,Oasis Books,4
1005,Youssef,Halim,9,Maadi,Active,2024-05-05,9029,507,2025-03-07,2025-03-29 00:00:00,Science,160,2024,Nile Press,4
1005,Not Available,Not Available,9,Maadi,Active,2025-01-22,Missing,513,2025-07-10,Not Returned,Science,201,2017,Unknown,4
1005,Youssef,Halim,9,Maadi,Active,2024-05-05,9066,513,2025-07-15,2025-07-31 00:00:00,Science,294,2021,Oasis Books,4
1006,Layla,Mansour,6,Maadi,Inactive,2024-02-12,9058,501,2025-03-18,2025-04-09 00:00:00,Adventure,128,2017,Nile Press,1
1007,Sherif,Fouad,6,Maadi,Active,2025-08-18,9038,506,2024-07-15,2024-08-12 00:00:00,Friendship,183,2017,Nile Press,4
1007,Sherif,Fouad,6,Maadi,Active,2025-08-18,9047,507,2024-10-11,2024-10-24 00:00:00,Science,160,2024,Nile Press,4
1007,Not Available,Not Available,9,Maadi,Active,2025-01-22,Missing,510,2025-07-07,Not Returned,Mystery,201,2017,Unknown,4
1007,Sherif,Fouad,6,Maadi,Active,2025-08-18,9072,513,2025-03-05,2025-04-01 00:00:00,Science,294,2021,Oasis Books,4
1008,Ziad,Saleh,8,Maadi,Active,2025-10-28,9080,501,2024-03-20,2024-04-18 00:00:00,Adventure,128,2017,Nile Press,19
1008,Ziad,Saleh,8,Maadi,Active,2025-10-28,9021,501,2025-05-22,2025-05-29 00:00:00,Adventure,128,2017,Nile Press,19
1008,Ziad,Saleh,8,Maadi,Active,2025-10-28,9001,501,2025-08-23,2025-08-28 00:00:00,Adventure,128,2017,Nile Press,19
1008,Ziad,Saleh,8,Maadi,Active,2025-10-28,9064,502,2025-06-12,2025-06-21 00:00:00,Adventure,109,2018,Delta House,19
1008,Ziad,Saleh,8,Maadi,Active,2025-10-28,9067,507,2024-01-05,2024-01-29 00:00:00,Science,160,2024,Nile Press,19
1008,Ziad,Saleh,8,Maadi,Active,2025-10-28,9007,507,2025-03-15,2025-03-31 00:00:00,Science,160,2024,Nile Press,19
1008,Ziad,Saleh,8,Maadi,Active,2025-10-28,9093,507,2025-03-22,2025-04-19 00:00:00,Science,160,2024,Nile Press,19
1008,Ziad,Saleh,8,Maadi,Active,2025-10-28,9037,509,2024-01-02,2024-01-22 00:00:00,Mystery,221,2011,Nile Press,19
1008,Ziad,Saleh,8,Maadi,Active,2025-10-28,9084,511,2024-06-27,2024-07-22 00:00:00,Historical,117,2016,Nile Press,19
1008,Ziad,Saleh,8,Maadi,Active,2025-10-28,9073,513,2025-02-13,Not Returned,Science,294,2021,Oasis Books,19
1008,Ziad,Saleh,8,Maadi,Active,2025-10-28,9005,513,2025-04-20,2025-04-29 00:00:00,Science,294,2021,Oasis Books,19
1008,Ziad,Saleh,8,Maadi,Active,2025-10-28,9077,514,2024-07-28,2024-08-12 00:00:00,Science Fiction,328,2023,Cairo Young Readers,19
1008,Ziad,Saleh,8,Maadi,Active,2025-10-28,9053,516,2025-07-20,2025-08-08 00:00:00,Nature,241,2010,Nile Press,19
1008,Ziad,Saleh,8,Maadi,Active,2025-10-28,9045,520,2024-05-28,Not Returned,Science Fiction,136,2009,Oasis Books,19
1008,Ziad,Saleh,8,Maadi,Active,2025-10-28,9079,520,2025-12-27,2026-01-05 00:00:00,Science Fiction,136,2009,Oasis Books,19
1008,Ziad,Saleh,8,Maadi,Active,2025-10-28,9078,521,2024-09-21,2024-10-12 00:00:00,Science,211,2024,Cairo Young Readers,19
1008,Ziad,Saleh,8,Maadi,Active,2025-10-28,9091,525,2024-06-03,2024-06-12 00:00:00,Adventure,297,2015,Oasis Books,19
1008,Ziad,Saleh,8,Maadi,Active,2025-10-28,9098,525,2024-12-15,2024-12-31 00:00:00,Adventure,297,2015,Oasis Books,19
1008,Ziad,Saleh,8,Maadi,Active,2025-10-28,9076,529,2025-12-12,2025-12-20 00:00:00,Mystery,298,2017,Cairo Young Readers,19
1009,Not Available,Not Available,9,Maadi,Active,2025-01-22,Missing,503,2025-07-09,Not Returned,Historical,201,2017,Unknown,2
1009,Hassan,Saleh,6,Maadi,Active,2025-04-25,9010,513,2025-07-22,2025-08-16 00:00:00,Science,294,2021,Oasis Books,2
1010,Nour,Nabil,6,Maadi,Active,2024-05-15,9012,501,2025-02-17,Not Returned,Adventure,128,2017,Nile Press,18
1010,Nour,Nabil,6,Maadi,Active,2024-05-15,9102,502,2024-10-05,Not Returned,Adventure,109,2018,Delta House,18
