member_id,first_name,last_name,grade,neighborhood,membership_status,join_date,checkout_id,book_id,checkout_date,return_date,genre,pages,publication_year,publisher
1001,Salma,Ibrahim,8.0,Maadi,Active,2023-04-05,9025.0,525,2024-10-24,2024-11-07,Adventure,297.0,2015.0,Oasis Books
1002,Fares,Saleh,9.0,Maadi,Active,,9013.0,501,2024-02-16,2024-02-29,Adventure,128.0,2017.0,Nile Press
1002,Fares,Saleh,9.0,Maadi,Active,,9095.0,507,2024-06-25,2024-07-07,Science,160.0,2024.0,Nile Press
1002,,,,,,,,521,2025-07-08,,,,,
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9074.0,501,2024-06-19,2024-07-06,Adventure,128.0,2017.0,Nile Press
1003,,,,,,,,501,2025-07-08,,,,,
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9068.0,501,2025-11-14,2025-12-03,Adventure,128.0,2017.0,Nile Press
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9071.0,503,2024-03-25,2024-04-09,Historical,259.0,,Nile Press
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9051.0,513,2025-07-22,2025-08-18,Science,294.0,2021.0,Oasis Books
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9103.0,513,2025-09-04,2025-09-25,Science,294.0,2021.0,Oasis Books
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9048.0,519,2024-12-03,2025-01-01,Friendship,157.0,2014.0,Nile Press
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9088.0,519,2025-09-17,2025-10-03,Friendship,157.0,2014.0,Nile Press
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9050.0,521,2025-08-21,,Science,211.0,2024.0,Cairo Young Readers
1003,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23,9018.0,522,2025-06-12,2025-06-24,Mystery,104.0,2016.0,Cairo Young Readers
1004,Fares,Wahba,7.0,Maadi,inactive,2024-10-09,,,,,,,,
1005,Youssef,Halim,9.0,Maadi,Active,2024-05-05,9043.0,505,2024-01-26,2024-02-04,Historical,216.0,2024.0,Oasis Books
1005,Youssef,Halim,9.0,Maadi,Active,2024-05-05,9029.0,507,2025-03-07,2025-03-29,Science,160.0,2024.0,Nile Press
1005,,,,,,,,513,2025-07-10,,,,,
1005,Youssef,Halim,9.0,Maadi,Active,2024-05-05,9066.0,513,2025-07-15,2025-07-31,Science,294.0,2021.0,Oasis Books
1006,Layla,Mansour,6.0,Maadi,Inactive,2024-02-12,9058.0,501,2025-03-18,2025-04-09,Adventure,128.0,2017.0,Nile Press
1007,Sherif,Fouad,6.0,Maadi,Active,2025-08-18,9038.0,506,2024-07-15,2024-08-12,Friendship,183.0,,Nile Press
1007,Sherif,Fouad,6.0,Maadi,Active,2025-08-18,9047.0,507,2024-10-11,2024-10-24,Science,160.0,2024.0,Nile Press
1007,,,,,,,,510,2025-07-07,,,,,
1007,Sherif,Fouad,6.0,Maadi,Active,2025-08-18,9072.0,513,2025-03-05,2025-04-01,Science,294.0,2021.0,Oasis Books
1008,Ziad,Saleh,8.0,Maadi,active,2025-10-28,9080.0,501,2024-03-20,2024-04-18,Adventure,128.0,2017.0,Nile Press
1008,Ziad,Saleh,8.0,Maadi,active,2025-10-28,9021.0,501,2025-05-22,2025-05-29,Adventure,128.0,2017.0,Nile Press
1008,Ziad,Saleh,8.0,Maadi,active,2025-10-28,9001.0,501,2025-08-23,2025-08-28,Adventure,128.0,2017.0,Nile Press
1008,Ziad,Saleh,8.0,Maadi,active,2025-10-28,9064.0,502,2025-06-12,2025-06-21,Adventure,109.0,2018.0,Delta House
1008,Ziad,Saleh,8.0,Maadi,active,2025-10-28,9067.0,507,2024-01-05,2024-01-29,Science,160.0,2024.0,Nile Press
1008,Ziad,Saleh,8.0,Maadi,active,2025-10-28,9007.0,507,2025-03-15,2025-03-31,Science,160.0,2024.0,Nile Press
1008,Ziad,Saleh,8.0,Maadi,active,2025-10-28,9093.0,507,2025-03-22,2025-04-19,Science,160.0,2024.0,Nile Press
1008,Ziad,Saleh,8.0,Maadi,active,2025-10-28,9037.0,509,2024-01-02,2024-01-22,Mystery,221.0,2011.0,Nile Press
1008,Ziad,Saleh,8.0,Maadi,active,2025-10-28,9084.0,511,2024-06-27,2024-07-22,Historical,117.0,2016.0,Nile Press
1008,Ziad,Saleh,8.0,Maadi,active,2025-10-28,9073.0,513,2025-02-13,,Science,294.0,2021.0,Oasis Books
1008,Ziad,Saleh,8.0,Maadi,active,2025-10-28,9005.0,513,2025-04-20,2025-04-29,Science,294.0,2021.0,Oasis Books
1008,Ziad,Saleh,8.0,Maadi,active,2025-10-28,9077.0,514,2024-07-28,2024-08-12,Science Fiction,328.0,2023.0,Cairo Young Readers
1008,Ziad,Saleh,8.0,Maadi,active,2025-10-28,9053.0,516,2025-07-20,2025-08-08,Nature,241.0,2010.0,Nile Press
1008,Ziad,Saleh,8.0,Maadi,active,2025-10-28,9045.0,520,2024-05-28,,Science Fiction,136.0,2009.0,Oasis Books
1008,Ziad,Saleh,8.0,Maadi,active,2025-10-28,9079.0,520,2025-12-27,2026-01-05,Science Fiction,136.0,2009.0,Oasis Books
1008,Ziad,Saleh,8.0,Maadi,active,2025-10-28,9078.0,521,2024-09-21,2024-10-12,Science,211.0,2024.0,Cairo Young Readers
1008,Ziad,Saleh,8.0,Maadi,active,2025-10-28,9091.0,525,2024-06-03,2024-06-12,Adventure,297.0,2015.0,Oasis Books
1008,Ziad,Saleh,8.0,Maadi,active,2025-10-28,9098.0,525,2024-12-15,2024-12-31,Adventure,297.0,2015.0,Oasis Books
1008,Ziad,Saleh,8.0,Maadi,active,2025-10-28,9076.0,529,2025-12-12,2025-12-20,Mystery,298.0,,Cairo Young Readers
1009,,,,,,,,503,2025-07-09,,,,,
1009,Hassan,Saleh,6.0,Maadi,Active,2025-04-25,9010.0,513,2025-07-22,2025-08-16,Science,294.0,2021.0,Oasis Books
1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,9012.0,501,2025-02-17,,Adventure,128.0,2017.0,Nile Press
1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,9102.0,502,2024-10-05,,Adventure,109.0,2018.0,Delta House
1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,9069.0,505,2024-06-14,2024-07-10,Historical,216.0,2024.0,Oasis Books
